clip,video_id,matches_label,description
VID-20250924-WA0005_clip_001.mp4,VID-20250924-WA0005,unsure,"Times Square daytime; casual pedestrians with visible gaps, spread out -> looks more like Normal than dense Crowdy"
VID-20250924-WA0005_clip_002.mp4,VID-20250924-WA0005,unsure,"Times Square daytime; casual pedestrians with visible gaps, spread out -> looks more like Normal than dense Crowdy"
VID-20250924-WA0013_clip_002.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_003.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_004.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_005.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_006.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_007.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0013_clip_008.mp4,VID-20250924-WA0013,unsure,"Night narrow entertainment alley; EXTREMELY packed shoulder-to-shoulder, motion blur, near-zero gaps -> crowd-crush conditions, not clearly calm"
VID-20250924-WA0017_clip_015.mp4,VID-20250924-WA0017,unsure,"Mixed content: posed selfie (news 'Ch2' bug) + packed metro platform; inconsistent, news B-roll framing"
VID-20250924-WA0017_clip_016.mp4,VID-20250924-WA0017,unsure,"Mixed content: posed selfie (news 'Ch2' bug) + packed metro platform; inconsistent, news B-roll framing"
VID-20250924-WA0017_clip_017.mp4,VID-20250924-WA0017,unsure,"Mixed content: posed selfie (news 'Ch2' bug) + packed metro platform; inconsistent, news B-roll framing"
VID-20250923-WA0008_clip_001.mp4,VID-20250923-WA0008,yes,"Night street festival; dense crowd, foreground selfie, calm/festive"
VID-20250923-WA0008_clip_002.mp4,VID-20250923-WA0008,yes,"Night street festival; dense crowd, foreground selfie, calm/festive"
VID-20250923-WA0010_clip_001.mp4,VID-20250923-WA0010,yes,"Night Ganesh festival (2AM, Mandai); dense crowd in market/pandal"
VID-20250923-WA0010_clip_002.mp4,VID-20250923-WA0010,yes,"Night Ganesh festival (2AM, Mandai); dense crowd in market/pandal"
VID-20250923-WA0011_clip_001.mp4,VID-20250923-WA0011,yes,"Night temple festival; dense crowd toward lit temple, devotional"
VID-20250923-WA0011_clip_002.mp4,VID-20250923-WA0011,yes,"Night temple festival; dense crowd toward lit temple, devotional"
VID-20250923-WA0011_clip_003.mp4,VID-20250923-WA0011,yes,"Night temple festival; dense crowd toward lit temple, devotional"
VID-20250923-WA0012_clip_001.mp4,VID-20250923-WA0012,yes,"Overhead night; extremely dense crowd filling festival street wall-to-wall, slow/standing"
VID-20250923-WA0012_clip_002.mp4,VID-20250923-WA0012,yes,"Overhead night; extremely dense crowd filling festival street wall-to-wall, slow/standing"
VID-20250923-WA0012_clip_003.mp4,VID-20250923-WA0012,yes,"Overhead night; extremely dense crowd filling festival street wall-to-wall, slow/standing"
VID-20250923-WA0013_clip_001.mp4,VID-20250923-WA0013,yes,"Daytime religious procession with decorated floats; crowd in white surrounding, calm"
VID-20250923-WA0013_clip_002.mp4,VID-20250923-WA0013,yes,"Daytime religious procession with decorated floats; crowd in white surrounding, calm"
VID-20250923-WA0013_clip_003.mp4,VID-20250923-WA0013,yes,"Daytime religious procession with decorated floats; crowd in white surrounding, calm"
VID-20250923-WA0014_clip_001.mp4,VID-20250923-WA0014,yes,"Night concert/stage event (Pune); dense crowd facing lit stage, celebratory"
VID-20250923-WA0014_clip_002.mp4,VID-20250923-WA0014,yes,"Night concert/stage event (Pune); dense crowd facing lit stage, celebratory"
VID-20250923-WA0014_clip_003.mp4,VID-20250923-WA0014,yes,"Night concert/stage event (Pune); dense crowd facing lit stage, celebratory"
VID-20250923-WA0015_clip_001.mp4,VID-20250923-WA0015,yes,"Daytime religious mass chant (Pune); aerial of massive devotional crowd + temple, calm"
VID-20250923-WA0015_clip_002.mp4,VID-20250923-WA0015,yes,"Daytime religious mass chant (Pune); aerial of massive devotional crowd + temple, calm"
VID-20250923-WA0015_clip_003.mp4,VID-20250923-WA0015,yes,"Daytime religious mass chant (Pune); aerial of massive devotional crowd + temple, calm"
VID-20250923-WA0015_clip_004.mp4,VID-20250923-WA0015,yes,"Daytime religious mass chant (Pune); aerial of massive devotional crowd + temple, calm"
VID-20250923-WA0017_clip_001.mp4,VID-20250923-WA0017,yes,"Night Ganesh festival; dense crowd, some arms raised cheering, idol visible"
VID-20250923-WA0017_clip_002.mp4,VID-20250923-WA0017,yes,"Night Ganesh festival; dense crowd, some arms raised cheering, idol visible"
